Abu Dhabi,Abu Dhabi,230 V,G
Afghanistan,Afghanistan,220 V,C / F
Albania,Albania,230 V,C / F
Algeria,Algeria,230 V,C / F
American Samoa,American Samoa,120 V,A / B / F / I
Andorra,Andorra,230 V,C / F
Angola,Angola,220 V,C
Anguilla,Anguilla,110 V,A / B
Antigua and Barbuda,Antigua and Barbuda,230 V,A / B
Argentina,Argentina,220 V,I
Armenia,Armenia,230 V,C / F
Aruba,Aruba,120 V,A / B / F
Australia,Australia,230 V,I
Austria,Austria,230 V,C / F
Azerbaijan,Azerbaijan,220 V,C / F
Azores,Azores,230 V,B / C / F
Bahamas,Bahamas,120 V,A / B
Bahrain,Bahrain,230 V,G
Balearic Islands,Balearic Islands,230 V,C / F
Bangladesh,Bangladesh,220 V,A / C / D / G / K
Barbados,Barbados,115 V,A / B
Belarus,Belarus,220 V,C / F
Belgium,Belgium,230 V,C / E
Belize,Belize,110 V / 220 V,A / B / G
Benin,Benin,220 V,C / E
Bermuda,Bermuda,120 V,A / B
Bhutan,Bhutan,230 V,C / D / G
Bolivia,Bolivia,230 V,A / C
Bonaire,Bonaire,127 V,A / C
Bosnia & Herzegovina,Bosnia & Herzegovina,230 V,C / F
Botswana,Botswana,230 V,D / G
Brazil,Brazil,127 V / 220 V,C / N
British Virgin Islands,British Virgin Islands,110 V,A / B
Brunei,Brunei,240 V,G
Bulgaria,Bulgaria,230 V,C / F
Burkina Faso,Burkina Faso,220 V,C / E
Burma,Burma,230 V,A / C / D / G / I
Burundi,Burundi,220 V,C / E
Cambodia,Cambodia,230 V,A / C / G
Cameroon,Cameroon,220 V,C / E
Canada,Canada,120 V,A / B
Canary Islands,Canary Islands,230 V,C / E / F
Cape Verde,Cape Verde,230 V,C / F
Cayman Islands,Cayman Islands,120 V,A / B
Central African Republic,Central African Republic,220 V,C / E
Chad,Chad,220 V,C / D / E / F
Channel Islands,Channel Islands,230 V,C / G
Chile,Chile,220 V,C / L
China,China,220 V,A / C / I
Christmas Island,Christmas Island,230 V,I
Cocos  Islands,Cocos  Islands,230 V,I
Colombia,Colombia,110 V,A / B
Comoros,Comoros,220 V,C / E
Congo,Congo,220 V,C / D / E
Cook Islands,Cook Islands,240 V,I
Costa Rica,Costa Rica,120 V,A / B
C?te d?Ivoire,C?te d?Ivoire,220 V,C / E
Croatia,Croatia,230 V,C / F
